ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2013-01-01,633270.283909,396850.4684066838,447691.50626663526,633270.283909,633270.283909,-211543.89465080766,-211543.89465080766,-211543.89465080766,-211543.89465080766,-211543.89465080766,-211543.89465080766,0.0,0.0,0.0,421726.3892581923
2013-02-01,639941.0055110073,402391.5561382099,449945.43596582726,639941.0055110073,639941.0055110073,-214569.50376983776,-214569.50376983776,-214569.50376983776,-214569.50376983776,-214569.50376983776,-214569.50376983776,0.0,0.0,0.0,425371.5017411695
2013-03-01,645966.1734095943,578065.600425114,625355.5316092144,645966.1734095943,645966.1734095943,-43683.28594781944,-43683.28594781944,-43683.28594781944,-43683.28594781944,-43683.28594781944,-43683.28594781944,0.0,0.0,0.0,602282.8874617749
2013-04-01,652636.8950165315,675562.1124837755,724014.7514450504,652636.8950165315,652636.8950165315,46794.609953786545,46794.609953786545,46794.609953786545,46794.609953786545,46794.609953786545,46794.609953786545,0.0,0.0,0.0,699431.504970318
2013-05-01,659092.432055503,761319.7922696073,810436.4852928038,659092.432055503,659092.432055503,127865.58468244212,127865.58468244212,127865.58468244212,127865.58468244212,127865.58468244212,127865.58468244212,0.0,0.0,0.0,786958.0167379451
2013-06-01,665764.6675377976,794841.9516064074,844439.6610999281,665764.6675377976,665764.6675377976,154811.35426523717,154811.35426523717,154811.35426523717,154811.35426523717,154811.35426523717,154811.35426523717,0.0,0.0,0.0,820576.0218030347
2013-07-01,672221.6696174376,890300.9645822017,940451.7928447528,672221.6696174376,672221.6696174376,244235.36116840533,244235.36116840533,244235.36116840533,244235.36116840533,244235.36116840533,244235.36116840533,0.0,0.0,0.0,916457.030785843
2013-08-01,678896.7020442608,766138.4210716209,815272.8479518987,678896.7020442608,678896.7020442608,111943.75850893153,111943.75850893153,111943.75850893153,111943.75850893153,111943.75850893153,111943.75850893153,0.0,0.0,0.0,790840.4605531923
2013-09-01,685571.7344710842,680252.5698214774,731492.0865210249,685571.7344710842,685571.7344710842,19778.32823111399,19778.32823111399,19778.32823111399,19778.32823111399,19778.32823111399,19778.32823111399,0.0,0.0,0.0,705350.0627021982
2013-10-01,692031.4461700125,648912.2828436563,698387.4631059185,692031.4461700125,692031.4461700125,-18425.63541002258,-18425.63541002258,-18425.63541002258,-18425.63541002258,-18425.63541002258,-18425.63541002258,0.0,0.0,0.0,673605.8107599899
2013-11-01,698706.4816400972,685411.6732573718,736990.7258201704,698706.4816400972,698706.4816400972,11834.686752763842,11834.686752763842,11834.686752763842,11834.686752763842,11834.686752763842,11834.686752763842,0.0,0.0,0.0,710541.168392861
2013-12-01,705166.1933853407,467720.82526705734,517948.8138963002,705166.1933853407,705166.1933853407,-210452.88636369433,-210452.88636369433,-210452.88636369433,-210452.88636369433,-210452.88636369433,-210452.88636369433,0.0,0.0,0.0,494713.3070216464
2014-01-01,711841.2288395234,473740.16790354636,521906.1396804421,711841.2288395234,711841.2288395234,-215071.87810339764,-215071.87810339764,-215071.87810339764,-215071.87810339764,-215071.87810339764,-215071.87810339764,0.0,0.0,0.0,496769.3507361257
2014-02-01,718516.2642937062,479259.62405437813,527827.4675452359,718516.2642937062,718516.2642937062,-216162.39146696465,-216162.39146696465,-216162.39146696465,-216162.39146696465,-216162.39146696465,-216162.39146696465,0.0,0.0,0.0,502353.87282674154
2014-03-01,724537.3781511511,657704.0470848128,705421.2279297593,724537.3781511511,724537.3781511511,-42271.283781810605,-42271.283781810605,-42271.283781810605,-42271.283781810605,-42271.283781810605,-42271.283781810605,0.0,0.0,0.0,682266.0943693405
2014-04-01,731203.6113504652,750432.8427639969,798002.7606779988,731203.6113504652,731203.6113504652,44101.66480053117,44101.66480053117,44101.66480053117,44101.66480053117,44101.66480053117,44101.66480053117,0.0,0.0,0.0,775305.2761509963
2014-05-01,737650.1183031125,847329.3452310943,895546.7434469082,737650.1183031125,737650.1183031125,133011.00038891664,133011.00038891664,133011.00038891664,133011.00038891664,133011.00038891664,133011.00038891664,0.0,0.0,0.0,870661.118692029
2014-06-01,744311.5088208481,870879.5815095291,921331.8586619081,744311.5088208481,744311.5088208481,151915.7681619158,151915.7681619158,151915.7681619158,151915.7681619158,151915.7681619158,151915.7681619158,0.0,0.0,0.0,896227.2769827639
2014-07-01,750746.0014709216,963596.6743821731,1015104.5620743948,750746.0014709216,750746.0014709216,237924.2019731113,237924.2019731113,237924.2019731113,237924.2019731113,237924.2019731113,237924.2019731113,0.0,0.0,0.0,988670.2034440329
2014-08-01,757394.9772093309,850108.2841917992,899593.9751218122,757394.9772093309,757394.9772093309,117609.29179397505,117609.29179397505,117609.29179397505,117609.29179397505,117609.29179397505,117609.29179397505,0.0,0.0,0.0,875004.2690033059
2014-09-01,761723.5102087619,758643.6284046208,807269.4986667369,761723.5102087619,761723.5102087619,19172.030323209194,19172.030323209194,19172.030323209194,19172.030323209194,19172.030323209194,19172.030323209194,0.0,0.0,0.0,780895.5405319711
2014-10-01,765912.4131114372,724825.6426328656,772185.9562739383,765912.4131114372,765912.4131114372,-16285.485561914054,-16285.485561914054,-16285.485561914054,-16285.485561914054,-16285.485561914054,-16285.485561914054,0.0,0.0,0.0,749626.9275495232
2014-11-01,770239.6736969359,758910.4468511138,809400.8031303588,770239.6736969359,770239.6736969359,13665.612819022988,13665.612819022988,13665.612819022988,13665.612819022988,13665.612819022988,13665.612819022988,0.0,0.0,0.0,783905.2865159588
2014-12-01,774427.3452312894,540822.6081110776,590247.0767770662,774427.3452312894,774427.3452312894,-209527.0462182525,-209527.0462182525,-209527.0462182525,-209527.0462182525,-209527.0462182525,-209527.0462182525,0.0,0.0,0.0,564900.2990130369
2015-01-01,778752.0738067689,535075.6997918218,584834.013035429,778752.0738067689,778752.0738067689,-218615.26922099665,-218615.26922099665,-218615.26922099665,-218615.26922099665,-218615.26922099665,-218615.26922099665,0.0,0.0,0.0,560136.8045857722
2015-02-01,783076.8023514275,538558.8097726268,590666.4151485707,783076.8023514275,783076.8023514275,-217648.90564837973,-217648.90564837973,-217648.90564837973,-217648.90564837973,-217648.90564837973,-217648.90564837973,0.0,0.0,0.0,565427.8967030478
2015-03-01,786983.008778861,719902.4828593874,769433.2064243632,786983.008778861,786983.008778861,-40869.06506779693,-40869.06506779693,-40869.06506779693,-40869.06506779693,-40869.06506779693,-40869.06506779693,0.0,0.0,0.0,746113.943711064
2015-04-01,791307.7373260971,810246.3193574215,858216.3207241675,791307.7373260971,791307.7373260971,41438.49792770785,41438.49792770785,41438.49792770785,41438.49792770785,41438.49792770785,41438.49792770785,0.0,0.0,0.0,832746.235253805
2015-05-01,795492.9585008415,907926.3100903168,957473.4417060046,795492.9585008415,795492.9585008415,138093.71025571172,138093.71025571172,138093.71025571172,138093.71025571172,138093.71025571172,138093.71025571172,0.0,0.0,0.0,933586.6687565532
2015-06-01,799817.687045584,923175.2675208312,972181.0422208458,799817.687045584,799817.687045584,148884.09464941308,148884.09464941308,148884.09464941308,148884.09464941308,148884.09464941308,148884.09464941308,0.0,0.0,0.0,948701.7816949971
2015-07-01,804002.9082179153,1011021.7502020467,1059918.5027044131,804002.9082179153,804002.9082179153,231672.03848796376,231672.03848796376,231672.03848796376,231672.03848796376,231672.03848796376,231672.03848796376,0.0,0.0,0.0,1035674.9467058791
2015-08-01,808327.6367489599,908115.8914891169,956308.9031656826,808327.6367489599,808327.6367489599,123379.22700025995,123379.22700025995,123379.22700025995,123379.22700025995,123379.22700025995,123379.22700025995,0.0,0.0,0.0,931706.8637492198
2015-09-01,812652.3652800046,806314.7785297944,857606.5524968626,812652.3652800046,812652.3652800046,18577.116030824756,18577.116030824756,18577.116030824756,18577.116030824756,18577.116030824756,18577.116030824756,0.0,0.0,0.0,831229.4813108293
2015-10-01,816837.5864408765,777871.7918421128,826638.8623936224,816837.5864408765,816837.5864408765,-14124.271135143581,-14124.271135143581,-14124.271135143581,-14124.271135143581,-14124.271135143581,-14124.271135143581,0.0,0.0,0.0,802713.3153057329
2015-11-01,821162.3149737775,811939.1207292051,861746.9617122492,821162.3149737775,821162.3149737775,15405.91106912778,15405.91106912778,15405.91106912778,15405.91106912778,15405.91106912778,15405.91106912778,0.0,0.0,0.0,836568.2260429052
2015-12-01,825347.5360999436,591350.0735829464,642170.7105890749,825347.5360999436,825347.5360999436,-208644.86887055496,-208644.86887055496,-208644.86887055496,-208644.86887055496,-208644.86887055496,-208644.86887055496,0.0,0.0,0.0,616702.6672293886
2016-01-01,829672.2645969819,582587.1970543695,631437.8259975712,829672.2645969819,829672.2645969819,-222169.55924072722,-222169.55924072722,-222169.55924072722,-222169.55924072722,-222169.55924072722,-222169.55924072722,0.0,0.0,0.0,607502.7053562547
2016-02-01,833996.9930947393,588492.0111748679,638067.9552129952,833996.9930947393,833996.9930947393,-219027.61957841695,-219027.61957841695,-219027.61957841695,-219027.61957841695,-219027.61957841695,-219027.61957841695,0.0,0.0,0.0,614969.3735163223
2016-03-01,838042.706850706,769656.5496671541,818689.6570470771,838042.706850706,838042.706850706,-45102.219563008635,-45102.219563008635,-45102.219563008635,-45102.219563008635,-45102.219563008635,-45102.219563008635,0.0,0.0,0.0,792940.4872876974
2016-04-01,842357.7857725048,867292.2925315821,916327.0676177745,842357.7857725048,842357.7857725048,49517.41883141389,49517.41883141389,49517.41883141389,49517.41883141389,49517.41883141389,49517.41883141389,0.0,0.0,0.0,891875.2046039186
2016-05-01,846524.0282771189,943275.9651058714,993461.302906063,846524.0282771189,846524.0282771189,122662.72630764241,122662.72630764241,122662.72630764241,122662.72630764241,122662.72630764241,122662.72630764241,0.0,0.0,0.0,969186.7545847613
2016-06-01,850829.1455318868,984467.7187369586,1032769.0082323739,850829.1455318868,850829.1455318868,157567.88551637463,157567.88551637463,157567.88551637463,157567.88551637463,157567.88551637463,157567.88551637463,0.0,0.0,0.0,1008397.0310482614
2016-07-01,854722.1004181344,1080630.5304647011,1130312.1775013108,854722.1004181344,854722.1004181344,250598.4616975553,250598.4616975553,250598.4616975553,250598.4616975553,250598.4616975553,250598.4616975553,0.0,0.0,0.0,1105320.5621156897
2016-08-01,858744.8204672569,940862.6129143891,991048.5537074484,858744.8204672569,858744.8204672569,106385.70326718692,106385.70326718692,106385.70326718692,106385.70326718692,106385.70326718692,106385.70326718692,0.0,0.0,0.0,965130.5237344438
2016-09-01,862764.5494025304,858954.9983962312,908191.3457437333,862764.5494025304,862764.5494025304,20396.533044421973,20396.533044421973,20396.533044421973,20396.533044421973,20396.533044421973,20396.533044421973,0.0,0.0,0.0,883161.0824469524
2016-10-01,866654.6096624723,821965.5241958785,870012.3328201436,866654.6096624723,866654.6096624723,-20541.699241285965,-20541.699241285965,-20541.699241285965,-20541.699241285965,-20541.699241285965,-20541.699241285965,0.0,0.0,0.0,846112.9104211864
2016-11-01,870671.6894549524,857102.1225148306,904692.8802088228,870671.6894549524,870671.6894549524,9914.874656939768,9914.874656939768,9914.874656939768,9914.874656939768,9914.874656939768,9914.874656939768,0.0,0.0,0.0,880586.5641118921
2016-12-01,874559.1860283201,639418.2055175713,687202.1302845121,874559.1860283201,874559.1860283201,-211423.55752631187,-211423.55752631187,-211423.55752631187,-211423.55752631187,-211423.55752631187,-211423.55752631187,0.0,0.0,0.0,663135.6285020083
2017-01-01,878576.2658180544,641804.378147921,691141.6796144815,878576.2658180544,878576.2658180544,-211543.89465077233,-211543.89465077233,-211543.89465077233,-211543.89465077233,-211543.89465077233,-211543.89465077233,0.0,0.0,0.0,667032.3711672821
2017-02-01,882593.3456077887,643812.9956797828,691147.9031236505,882593.3456077887,882593.3456077887,-214569.5037698235,-214569.5037698235,-214569.5037698235,-214569.5037698235,-214569.5037698235,-214569.5037698235,0.0,0.0,0.0,668023.8418379652
2017-03-01,886221.6757404518,817225.3277521812,866523.1314889094,886221.6757404518,886221.6757404518,-43683.2859478107,-43683.2859478107,-43683.2859478107,-43683.2859478107,-43683.2859478107,-43683.2859478107,0.0,0.0,0.0,842538.389792641
2017-04-01,890238.7555301861,913229.6234311884,961796.3753775158,890238.7555301861,890238.7555301861,46794.60995377661,46794.60995377661,46794.60995377661,46794.60995377661,46794.60995377661,46794.60995377661,0.0,0.0,0.0,937033.3654839627
2017-05-01,894126.2521008968,996739.7169096314,1046485.4301896082,894126.2521008968,894126.2521008968,127865.58468247124,127865.58468247124,127865.58468247124,127865.58468247124,127865.58468247124,127865.58468247124,0.0,0.0,0.0,1021991.836783368
2017-06-01,898143.331890631,1028616.0458686813,1077032.8949083986,898143.331890631,898143.331890631,154811.35426522058,154811.35426522058,154811.35426522058,154811.35426522058,154811.35426522058,154811.35426522058,0.0,0.0,0.0,1052954.6861558515
2017-07-01,902030.8284613416,1121658.7065671675,1171297.5885663007,902030.8284613416,902030.8284613416,244235.3611683884,244235.3611683884,244235.3611683884,244235.3611683884,244235.3611683884,244235.3611683884,0.0,0.0,0.0,1146266.1896297298
2017-08-01,906047.9082510759,992456.6523387752,1044404.5745733004,906047.9082510759,906047.9082510759,111943.75850895217,111943.75850895217,111943.75850895217,111943.75850895217,111943.75850895217,111943.75850895217,0.0,0.0,0.0,1017991.6667600281
2017-09-01,910064.9880408101,906234.2697663914,955791.436192059,910064.9880408101,910064.9880408101,19778.32823112655,19778.32823112655,19778.32823112655,19778.32823112655,19778.32823112655,19778.32823112655,0.0,0.0,0.0,929843.3162719366
2017-10-01,913952.4846115208,870908.2990511754,919295.0415357003,913952.4846115208,913952.4846115208,-18425.63540999044,-18425.63540999044,-18425.63540999044,-18425.63540999044,-18425.63540999044,-18425.63540999044,0.0,0.0,0.0,895526.8492015303
2017-11-01,917969.564401255,905058.7497052164,954884.0764745349,917969.564401255,917969.564401255,11834.68675274706,11834.68675274706,11834.68675274706,11834.68675274706,11834.68675274706,11834.68675274706,0.0,0.0,0.0,929804.251154002
2017-12-01,921857.0609719655,685239.3240417539,737653.7108712957,921857.0609719655,921857.0609719655,-210452.88636368891,-210452.88636368891,-210452.88636368891,-210452.88636368891,-210452.88636368891,-210452.88636368891,0.0,0.0,0.0,711404.1746082767
2017-12-02,921986.6441909893,680425.1921499281,731583.6337179802,921986.6441909893,921986.6441909893,-214614.41070215666,-214614.41070215666,-214614.41070215666,-214614.41070215666,-214614.41070215666,-214614.41070215666,0.0,0.0,0.0,707372.2334888326
2017-12-03,922116.227410013,677161.6679722226,725445.6246980359,922116.227410013,922116.227410013,-219545.628982344,-219545.628982344,-219545.628982344,-219545.628982344,-219545.628982344,-219545.628982344,0.0,0.0,0.0,702570.5984276689
2017-12-04,922245.8106290365,672101.527358267,723179.0003583353,922245.8106290365,922245.8106290365,-225268.08238495537,-225268.08238495537,-225268.08238495537,-225268.08238495537,-225268.08238495537,-225268.08238495537,0.0,0.0,0.0,696977.7282440811
2017-12-05,922375.3938480604,665565.325592051,714771.7479704652,922375.3938480604,922375.3938480604,-231768.5761624548,-231768.5761624548,-231768.5761624548,-231768.5761624548,-231768.5761624548,-231768.5761624548,0.0,0.0,0.0,690606.8176856056
2017-12-06,922504.9770670839,657743.2358827626,707928.0185525682,922504.9770670839,922504.9770670839,-238998.7962075617,-238998.7962075617,-238998.7962075617,-238998.7962075617,-238998.7962075617,-238998.7962075617,0.0,0.0,0.0,683506.1808595222
2017-12-07,922634.5602861078,651899.6888711035,699492.7133096539,922634.5602861078,922634.5602861078,-246876.02782391434,-246876.02782391434,-246876.02782391434,-246876.02782391434,-246876.02782391434,-246876.02782391434,0.0,0.0,0.0,675758.5324621935
2017-12-08,922764.1435051314,643911.9711623029,693577.8875406759,922764.1435051314,922764.1435051314,-255284.96423621278,-255284.96423621278,-255284.96423621278,-255284.96423621278,-255284.96423621278,-255284.96423621278,0.0,0.0,0.0,667479.1792689186
2017-12-09,922893.726724155,634484.6760456773,684110.4892717095,922893.726724155,922893.726724155,-264080.55984101066,-264080.55984101066,-264080.55984101066,-264080.55984101066,-264080.55984101066,-264080.55984101066,0.0,0.0,0.0,658813.1668831443
2017-12-10,923023.3099431788,626841.9379499411,674552.8442517734,923023.3099431788,923023.3099431788,-273091.8518453945,-273091.8518453945,-273091.8518453945,-273091.8518453945,-273091.8518453945,-273091.8518453945,0.0,0.0,0.0,649931.4580977843
2017-12-11,923152.8931622024,616463.3072270222,668051.4992819186,923152.8931622024,923152.8931622024,-282126.64469377574,-282126.64469377574,-282126.64469377574,-282126.64469377574,-282126.64469377574,-282126.64469377574,0.0,0.0,0.0,641026.2484684268
2017-12-12,923282.4763812262,608136.4238090871,655845.8277327878,923282.4763812262,923282.4763812262,-290976.92540963774,-290976.92540963774,-290976.92540963774,-290976.92540963774,-290976.92540963774,-290976.92540963774,0.0,0.0,0.0,632305.5509715885
2017-12-13,923412.0596002497,599806.6429664141,648256.6901791678,923412.0596002497,923412.0596002497,-299424.8554614301,-299424.8554614301,-299424.8554614301,-299424.8554614301,-299424.8554614301,-299424.8554614301,0.0,0.0,0.0,623987.2041388196
2017-12-14,923541.6428192735,590715.3524729549,640754.7228176553,923541.6428192735,923541.6428192735,-307249.1666733194,-307249.1666733194,-307249.1666733194,-307249.1666733194,-307249.1666733194,-307249.1666733194,0.0,0.0,0.0,616292.4761459541
2017-12-15,923671.2260382972,585542.8258005604,635189.2059331631,923671.2260382972,923671.2260382972,-314231.77558390144,-314231.77558390144,-314231.77558390144,-314231.77558390144,-314231.77558390144,-314231.77558390144,0.0,0.0,0.0,609439.4504543957
2017-12-16,923800.809257321,578905.2321241162,627464.583936352,923800.809257321,923802.1389068033,-320164.42291632004,-320164.42291632004,-320164.42291632004,-320164.42291632004,-320164.42291632004,-320164.42291632004,0.0,0.0,0.0,603636.3863410009
2017-12-17,923930.3924763445,573863.007315228,623775.031427776,923930.091784455,923932.8796132032,-324855.142701736,-324855.142701736,-324855.142701736,-324855.142701736,-324855.142701736,-324855.142701736,0.0,0.0,0.0,599075.2497746085
2017-12-18,924059.9756953683,571725.9338669919,621171.3513069272,924058.8680720811,924063.6368835128,-328134.3691742294,-328134.3691742294,-328134.3691742294,-328134.3691742294,-328134.3691742294,-328134.3691742294,0.0,0.0,0.0,595925.6065211389
2017-12-19,924189.5589143919,569400.8627822011,619093.0946689214,924187.6269065703,924194.8210173486,-329860.4987500164,-329860.4987500164,-329860.4987500164,-329860.4987500164,-329860.4987500164,-329860.4987500164,0.0,0.0,0.0,594329.0601643755
2017-12-20,924319.1421334157,568244.3725023952,616975.3197331248,924316.7843506822,924325.7082065197,-329924.7389603521,-329924.7389603521,-329924.7389603521,-329924.7389603521,-329924.7389603521,-329924.7389603521,0.0,0.0,0.0,594394.4031730636
2017-12-21,924448.7253524393,572960.6476968727,621529.7168884586,924444.5763333441,924456.8762875064,-328255.0957240668,-328255.0957240668,-328255.0957240668,-328255.0957240668,-328255.0957240668,-328255.0957240668,0.0,0.0,0.0,596193.6296283726
2017-12-22,924578.308571463,575148.1516420016,624200.8389209277,924572.5366971134,924588.6864649451,-324819.374266473,-324819.374266473,-324819.374266473,-324819.374266473,-324819.374266473,-324819.374266473,0.0,0.0,0.0,599758.93430499
2017-12-23,924707.8917904868,580847.823048204,631001.459761867,924701.0985059646,924721.4175704786,-319627.09663915896,-319627.09663915896,-319627.09663915896,-319627.09663915896,-319627.09663915896,-319627.09663915896,0.0,0.0,0.0,605080.7951513277
2017-12-24,924837.4750095103,588361.0522392977,638361.4511723405,924827.9325542531,924853.2499020704,-312730.26937245077,-312730.26937245077,-312730.26937245077,-312730.26937245077,-312730.26937245077,-312730.26937245077,0.0,0.0,0.0,612107.2056370595
2017-12-25,924967.0582285342,595326.9418448214,645192.055484215,924955.4503515504,924984.564511746,-304222.9674274503,-304222.9674274503,-304222.9674274503,-304222.9674274503,-304222.9674274503,-304222.9674274503,0.0,0.0,0.0,620744.090801084
2017-12-26,925096.6414475577,605432.4045949888,653833.4382878285,925083.9050423589,925117.4719973437,-294239.7343621008,-294239.7343621008,-294239.7343621008,-294239.7343621008,-294239.7343621008,-294239.7343621008,0.0,0.0,0.0,630856.9070854569
2017-12-27,925226.2246665814,617655.0514148691,665302.7886379792,925210.806379494,925249.4845667265,-282952.8325159148,-282952.8325159148,-282952.8325159148,-282952.8325159148,-282952.8325159148,-282952.8325159148,0.0,0.0,0.0,642273.3921506666
2017-12-28,925355.8078856051,628897.8322299764,680990.3772688353,925337.19677266,925381.7504924897,-270568.41006986523,-270568.41006986523,-270568.41006986523,-270568.41006986523,-270568.41006986523,-270568.41006986523,0.0,0.0,0.0,654787.39781574
2017-12-29,925485.3911046288,643299.5877281332,693112.1864345002,925465.1633436998,925515.1814784141,-257321.68309672317,-257321.68309672317,-257321.68309672317,-257321.68309672317,-257321.68309672317,-257321.68309672317,0.0,0.0,0.0,668163.7080079056
2017-12-30,925614.9743236525,658413.6998475536,705987.5312983189,925593.6166239276,925647.3150120775,-243471.25927298173,-243471.25927298173,-243471.25927298173,-243471.25927298173,-243471.25927298173,-243471.25927298173,0.0,0.0,0.0,682143.7150506708
2017-12-31,925744.5575426762,671043.8861835665,721516.9775868328,925719.8575160851,925780.3168756769,-229292.75495611946,-229292.75495611946,-229292.75495611946,-229292.75495611946,-229292.75495611946,-229292.75495611946,0.0,0.0,0.0,696451.8025865568
2018-01-01,925874.1407616999,687325.2401867916,735252.8810791883,925848.6869550773,925912.1539571721,-215071.87810336155,-215071.87810336155,-215071.87810336155,-215071.87810336155,-215071.87810336155,-215071.87810336155,0.0,0.0,0.0,710802.2626583383
2018-01-02,926003.7239807235,699407.6148175827,751243.5751029552,925975.7636890328,926044.9133701297,-201097.16542269252,-201097.16542269252,-201097.16542269252,-201097.16542269252,-201097.16542269252,-201097.16542269252,0.0,0.0,0.0,724906.558558031
2018-01-03,926133.3071997472,715204.1158508327,761848.5439651164,926102.2246304664,926179.228162388,-187652.57273654523,-187652.57273654523,-187652.57273654523,-187652.57273654523,-187652.57273654523,-187652.57273654523,0.0,0.0,0.0,738480.734463202
2018-01-04,926262.8904187708,726931.6882058375,774886.831158251,926229.0097326167,926311.1704627454,-175010.1224919473,-175010.1224919473,-175010.1224919473,-175010.1224919473,-175010.1224919473,-175010.1224919473,0.0,0.0,0.0,751252.7679268236
2018-01-05,926392.4736377946,737570.7954045236,787037.2779939858,926357.3687976754,926442.847763983,-163422.81151955284,-163422.81151955284,-163422.81151955284,-163422.81151955284,-163422.81151955284,-163422.81151955284,0.0,0.0,0.0,762969.6621182418
2018-01-06,926522.0568568183,746932.315873359,797710.9946720889,926484.0097869317,926575.345326251,-153117.97554709218,-153117.97554709218,-153117.97554709218,-153117.97554709218,-153117.97554709218,-153117.97554709218,0.0,0.0,0.0,773404.0813097261
2018-01-07,926651.640075842,757638.1729329508,806453.436688223,926609.0413267631,926707.6933806016,-144291.294795709,-144291.294795709,-144291.294795709,-144291.294795709,-144291.294795709,-144291.294795709,0.0,0.0,0.0,782360.3452801331
2018-01-08,926781.2232948657,763129.9865146225,815629.7031457046,926735.9631102593,926840.1149450534,-137101.6075733597,-137101.6075733597,-137101.6075733597,-137101.6075733597,-137101.6075733597,-137101.6075733597,0.0,0.0,0.0,789679.615721506
